código,clave,descripción,margen de mercado,caja,master,precio,unidad,ean,precio mínimo de venta,alta rotación,precio mayoreo con IVA,precio distribuidor con IVA,precio público con IVA,precio mayoreo sin IVA,precio distribuidor sin IVA,precio público sin IVA,Marca,Precio Medio Mayoreo sin IVA,Precio Medio Mayoreo con IVA,Codigo SAT,Descripcion SAT,Familia,Descripción Familia,Peso[Kg],Volumen[cm3]
48985,CIN-17545,"Bolsa con 10 cinchos plásticos 175 lb, 450x9 mm, naturales",MM00,10,60,55,Set,7.50624E+12,35,0,45,35,55,38.79,30.17,47.41,Volteck,43.1,50,31162800,Ferretería en general,P036,Cinchos de plástico y de contacto,0.083,382.188
48986,CIN-17570,"Bolsa con 10 cinchos plásticos 175 lb, 700x9 mm, naturales",MM00,10,20,82,Set,7.50624E+12,52,0,67,52,82,57.76,44.83,70.69,Volteck,64.66,75,31162800,Ferretería en general,P036,Cinchos de plástico y de contacto,0.125,673.785
48987,CIN-17590,"Bolsa con 10 cinchos plásticos 175 lb, 900x9 mm, naturales",MM00,10,20,117,Set,7.50624E+12,75,0,97,75,117,83.62,64.66,100.86,Volteck,92.24,107,31162800,Ferretería en general,P036,Cinchos de plástico y de contacto,0.155,850.08
48988,CIN-175120,"Bolsa con 10 cinchos plásticos 175 lb, 1200x9 mm, naturales",MM00,10,20,165,Set,7.50624E+12,105,0,135,105,165,116.38,90.52,142.24,Volteck,128.45,149,31162800,Ferretería en general,P036,Cinchos de plástico y de contacto,0.234,1044.522
48989,CIN-5060N,"Bolsa con 25 cinchos plásticos 50 lb, 600x4.5 mm, negros",MM00,10,60,92,Set,7.50624E+12,58,0,75,58,92,64.66,50,79.31,Volteck,71.55,83,31162800,Ferretería en general,P036,Cinchos de plástico y de contacto,0.121,636.519
48991,JALE-11,"Jaladera de embutir cuadrada acabado latón brillante, HERMEX",MM00,10,100,70,Pieza,7.50624E+12,45,0,59,45,70,50.86,38.79,60.34,Hermex,56.03,65,31162801,Chapas o pomos,P572,Perillas y jaladeras,0.04,130.894
48992,JALE-12,"Jaladera de embutir ovalada acabado latón brillante, HERMEX",MM00,10,100,77,Pieza,7.50624E+12,49,0,64,49,77,55.17,42.24,66.38,Hermex,59.48,69,31162801,Chapas o pomos,P572,Perillas y jaladeras,0.06,135.432
48993,JALED-12,Jaladera de embutir circular No. 2 acabado latón brillante,MM00,10,100,35,Pieza,7.50624E+12,22,0,29,22,35,25,18.97,30.17,Hermex,26.72,31,31162801,Chapas o pomos,P572,Perillas y jaladeras,0.015,64.779
48994,JALED-13,Jaladera de embutir circular No. 3 acabado latón brillante,MM00,10,100,38,Pieza,7.50624E+12,24,0,32,24,38,27.59,20.69,32.76,Hermex,29.31,34,31162801,Chapas o pomos,P572,Perillas y jaladeras,0.015,66.587
48995,JALED-14,Jaladera de embutir circular No. 4 acabado latón brillante,MM00,10,100,46,Pieza,7.50624E+12,29,0,37,29,46,31.9,25,39.66,Hermex,35.34,41,31162801,Chapas o pomos,P572,Perillas y jaladeras,0.02,64.205
48996,JALED-32,Jaladera de embutir circular No. 2 acabado cromo mate,MM00,10,100,35,Pieza,7.50624E+12,22,0,29,22,35,25,18.97,30.17,Hermex,26.72,31,31162801,Chapas o pomos,P572,Perillas y jaladeras,0.015,26.4
48998,JALED-33,Jaladera de embutir circular No. 3 acabado cromo mate,MM00,10,100,38,Pieza,7.50624E+12,24,0,32,24,38,27.59,20.69,32.76,Hermex,29.31,34,31162801,Chapas o pomos,P572,Perillas y jaladeras,0.015,64.638
48999,JALED-34,Jaladera de embutir circular No. 4 acabado cromo mate,MM00,10,100,46,Pieza,7.50624E+12,29,0,37,29,46,31.9,25,39.66,Hermex,35.34,41,31162801,Chapas o pomos,P572,Perillas y jaladeras,0.025,64.386
49016,LLX-8C,"Rueda imponchable 8' para eje central, Truper",MM0,2,10,285,Pieza,7.50624E+12,195,0,235,195,285,202.59,168.1,245.69,Truper,223.28,259,31162800,Ferretería en general,P084,Ruedas para diablo,0.843,3678.013
49029,PASE-200,"Sellador para roscas, 200g, FOSET",MM00,9,54,36,Pieza,7.50624E+12,23,0,30,23,36,25.86,19.83,31.03,Foset,28.45,33,31162800,Ferretería en general,P233,Cintas de teflón y pasta sella roscas,0.25,393.734
49030,MMP-100I,"Maneral de respuesto para mezcladora plástica, FOSET BASIC",MM00,4,24,18.5,Pieza,7.50624E+12,11,0,15.5,11,18.5,13.36,9.48,15.95,Foset,14.66,17,40141700,Material de ferretería y accesorios,P694,Grifería,0.015,174.372
49031,CARCE-9I,"Cartucho cerámico para llave MP-142, FOSET",MM00,1,36,19,Pieza,7.50624E+12,12,0,15.5,12,19,13.36,10.34,16.38,Foset,14.66,17,31162800,Ferretería en general,P694,Grifería,0.015,209.16
49051,MM-100I,"Maneral hexagonal metálico para lavabo y fregadero, BASIC",MM00,4,24,47,Pieza,7.50624E+12,28,0,39,28,47,33.62,24.14,40.52,Foset,37.07,43,23191200,Piezas de mezcladora y accesorios,P694,Grifería,0.06,230.552
49052,CARCE-3I,"Cartucho cerámico para llave M-142, FOSET",MM00,1,36,39,Pieza,7.50624E+12,25,0,33,25,39,28.45,21.55,33.62,Foset,31.03,36,23191200,Piezas de mezcladora y accesorios,P694,Grifería,0.035,115.821
49056,PICHA-1X,"Pichancha con rejilla acero inoxidable 1', FOSET",MM00,6,48,179,Pieza,7.50121E+12,115,0,149,115,179,128.45,99.14,154.31,Foset,142.24,165,40141608,Válvulas hidráulicas,P476,Válvulas de latón,0.22,305.581
49059,PICHA-2X,"Pichancha con rejilla acero inoxidable 2', FOSET",MM00,3,24,725,Pieza,7.50121E+12,465,0,595,465,725,512.93,400.86,625,Foset,573.28,665,40141608,Válvulas hidráulicas,P476,Válvulas de latón,0.74,1244.579
49062,CLG-231,"Reducción bushing de latón, 3/4' x 1/2', FOSET",MM0,5,200,39,Pieza,7.50624E+12,25,0,33,25,39,28.45,21.55,33.62,Foset,31.03,36,31162800,Ferretería en general,P559,Conexiones de latón y accesorios para gas,0.05,59.906
49064,CLG-233,"Reducción bushing de latón, 1' x 3/4', FOSET",MM0,5,150,59,Pieza,7.50624E+12,38,0,49,38,59,42.24,32.76,50.86,Foset,47.41,55,31162800,Ferretería en general,P559,Conexiones de latón y accesorios para gas,0.075,86.149
49073,ARB-704L,"Arbotante solar LED 4 W con sensor de movimiento, Volteck",MM00,2,12,395,Pieza,7.50624E+12,275,0,329,275,395,283.62,237.07,340.52,Volteck,314.66,365,31162800,Ferretería en general,P723,Luminarios LED,0.539,3405.305
49074,LLJ-100,"Llave p/manguera, de latón 100g, 1/2', granel, BASIC",MM00,12,120,65,Pieza,7.50624E+12,45,0,55,45,65,47.41,38.79,56.03,Foset,50.86,59,27111700,Llaves inglesas y guías,P177,Llaves de jardín,0.104,171.938
